"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"215";294,118;0,956;206,986;67,4;1,004;131,972;0,722;0,298;0,106;0,1;211,598;212,982;87,254;28,868;29,326;1241,99;1,034;210,234;71,8;1,058;136,626;0,732;0,288;0,094;0,094;903,86;852,792;333,088;113,768;109,506;"0"
"216";540,486;1;203,834;69,2;1,036;132,434;0,71;0,292;0,1;0,096;400,568;369,542;153,414;56,154;49,924;199,086;0,962;206,472;69;0,964;134,496;0,712;0,302;0,102;0,102;146,302;146,726;59,11;21,684;21,032;"0"
"217";348,04;1,048;210,02;72;1,098;134,556;0,73;0,284;0,114;0,108;257,504;230,018;101,834;38,334;35,462;491,972;0,978;205,562;70,4;0,988;133,022;0,714;0,306;0,114;0,108;351,19;348,116;148,024;51,064;50,928;"1"
"218";134,882;1,028;208,618;70,2;1,044;135,536;0,716;0,268;0,104;0,1;100,286;93,554;35,48;14,608;12,942;461,856;1,018;201,718;71,2;1,038;130,966;0,714;0,242;0,112;0,11;341,706;317,77;104,324;58,248;49,686;"0"
"219";903,384;1,066;211,778;72,2;1,118;138,468;0,744;0,296;0,096;0,09;635,136;610,862;289,272;79,744;76,478;1236,37;1,044;217,17;71,6;1,106;137,782;0,766;0,246;0,126;0,108;966,778;853,592;262,638;170,246;134,216;"0"
"220";1328,16;1,032;204,146;70,6;1,07;129,746;0,726;0,272;0,108;0,102;979,328;888,72;355,384;143,654;126,878;992,084;1,018;216,472;70;1,08;139,482;0,748;0,294;0,116;0,098;721,632;671,714;298,982;101,604;84,496;"1"
"221";1273,594;1,098;222,452;72,2;1,158;142,186;0,78;0,294;0,116;0,104;999,99;856,736;359,21;151,45;133,696;630,56;1,068;212,882;72,4;1,108;137,428;0,75;0,26;0,118;0,108;483,366;423,658;143,854;74,808;62,256;"1"
"222";585,448;1,022;212,77;70,2;1,038;136,76;0,742;0,28;0,11;0,1;454,094;431,262;155,024;82,564;71,538;700,812;1,088;213,812;74;1,116;137,548;0,764;0,256;0,12;0,098;534,23;477,802;168,542;86,458;70,158;"0"
"223";1801,266;1,102;234,404;71,8;1,142;148;0,808;0,278;0,15;0,126;1501,348;1304,028;472,622;309,86;256,046;1096,534;1,11;226,426;72,6;1,18;142,832;0,798;0,272;0,124;0,102;892,08;739,092;293,814;141,784;111,584;"1"
"224";369,534;1,032;207,098;71,4;1,068;134,006;0,728;0,288;0,092;0,098;259,832;259,928;103,104;34,978;37,52;790,886;0,902;173,098;66,8;0,862;112,452;0,604;0,29;0,068;0,108;518,636;536,054;284,27;63,52;67,772;"1"
"225";79,08;0,992;209,498;72;1,148;135,89;0,738;0,306;0,092;0,118;54,586;52,79;24,028;6,128;8,19;316,93;0,938;198,11;67,2;0,928;130,472;0,682;0,232;0,084;0,102;218,672;230,204;74,054;26,126;32,204;"0"
"226";836,696;1,038;227,044;71,6;1,104;144,132;0,798;0,232;0,138;0,116;680,472;602,468;187,782;115,368;89,202;930,388;1,004;210,998;70,2;1,038;136,536;0,73;0,28;0,106;0,094;674,72;636,798;293,444;84,134;74,738;"0"
"227";646,966;1,028;215,834;71,4;1,072;138,822;0,748;0,278;0,114;0,102;484,642;444,424;190,388;69,916;64,404;481,236;0,976;214,16;70,6;0,992;136,176;0,736;0,268;0,12;0,124;380,376;365,778;121,766;71,076;69,42;"1"
"228";91,798;0,69;170,672;59,2;0,748;113,292;0,588;0,218;0,078;0,122;57,318;68,434;21,21;6,846;8,632;828,618;0,978;202,356;69,4;1,022;131,754;0,704;0,258;0,096;0,086;597,43;553,894;234,02;68,862;57,458;"0"
"229";657,358;1,048;212,12;71,6;1,088;137,624;0,734;0,304;0,102;0,092;472,854;419,526;229,324;54,606;47,234;1025,736;1,064;214,446;72,4;1,118;137,382;0,752;0,28;0,112;0,102;780,518;682,226;294,108;112,556;93,822;"0"
"230";810,452;1,098;225,064;73,2;1,14;144,478;0,79;0,27;0,118;0,1;651,864;558,768;186,696;102,684;86,626;458,148;1,028;216,342;71,2;1,052;140,392;0,752;0,26;0,12;0,106;352,588;328,796;110,644;62,448;53,828;"1"
"231";316,796;0,902;182,48;67;0,87;117,846;0,636;0,286;0,08;0,094;223,612;236,598;58,83;41,798;38,616;189,886;1,05;212,828;71,2;1,1;137,402;0,742;0,274;0,108;0,09;149,048;127,54;48,984;22,51;17,08;"1"
"232";397,01;0,988;206,966;70;1,068;133,562;0,73;0,25;0,106;0,098;290,73;270,516;97,816;38,488;36,462;392,108;1,044;215,858;71,4;1,11;138,26;0,752;0,28;0,112;0,104;291,4;264,382;114,402;40,828;37,03;"0"
"233";976;1,05;223,044;72;1,072;142,118;0,772;0,28;0,13;0,12;800,13;719,602;229,568;162,628;134,862;220,058;0,962;205,504;69,2;0,962;133,654;0,706;0,296;0,104;0,102;159,912;161,29;62,922;23,924;23,104;"1"
"234";452,004;1,072;216,436;72,4;1,106;140,394;0,758;0,3;0,106;0,098;323,756;304,974;160,342;40,188;38,658;462,41;1,018;201,82;71,4;1,038;131,118;0,712;0,248;0,112;0,108;341,562;317,894;105,16;58,2;49,64;"0"
"235";24,624;0,852;196,316;65,6;0,88;127,234;0,666;0,242;0,09;0,116;15,574;19,346;5,628;2;3,106;211,478;0,998;206,234;69,6;0,986;133,208;0,706;0,3;0,124;0,106;153,02;152,732;62,714;29,612;25,234;"0"
"236";1386,486;1,104;223,246;73;1,178;143,572;0,78;0,288;0,118;0,102;1113,43;926,43;378,564;182,31;153,248;849,322;1,046;221,23;72,4;1,078;141,414;0,766;0,3;0,13;0,116;672,768;600,232;223,424;114,458;94,634;"1"
"237";1373,446;1,1;222,048;73,6;1,15;143,45;0,78;0,298;0,108;0,09;1109,146;940,88;374,22;172,782;134,092;1579,7;1,074;212,832;72,6;1,132;138,494;0,754;0,258;0,106;0,096;1211,942;1046,152;387,084;190,5;161,45;"0"
"238";1176,478;1,036;209,038;70,4;1,084;134,556;0,724;0,294;0,104;0,102;863,796;771,044;398,462;107,982;96,372;880,492;1,024;209,802;70;1,08;135,268;0,73;0,278;0,108;0,1;655,324;595,262;230,14;96,7;82,486;"1"
"239";209,332;0,97;201,6;68,4;0,97;130,214;0,7;0,266;0,106;0,114;142,6;150,28;51,71;20,502;20,952;503,13;1,064;219,676;71,6;1,106;139,866;0,758;0,28;0,132;0,112;394,312;359,294;117,694;76,89;64,654;"0"
"240";2704,796;1,15;230,732;74,2;1,26;146,91;0,818;0,274;0,12;0,086;2287,608;1774,956;684,652;373,25;250,738;2085,768;1,116;224,276;73;1,18;145,012;0,782;0,276;0,122;0,1;1562,002;1315,998;650,514;200,094;146,436;"1"
"241";680,856;1,004;204,524;71,2;1,012;133,406;0,724;0,282;0,104;0,112;478,08;463,072;209,546;58,67;58,818;369,826;1,034;207,648;71,4;1,072;134,55;0,73;0,284;0,092;0,098;259,844;259,708;103,684;34,896;37,462;"1"
"242";1519,068;1,03;217,652;69,6;1,146;141,038;0,762;0,26;0,11;0,102;1204,626;1017,638;377,996;178,608;148,114;2079,626;1,11;213,412;74;1,14;137,906;0,754;0,288;0,102;0,086;1617,82;1386,248;542,538;250,42;202,402;"1"
